temp,atemp,humidity,windspeed,count,season_1.0,season_2.0,season_3.0,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,holiday_0.0,day_of_week_0.0,day_of_week_1.0,day_of_week_2.0,day_of_week_3.0,day_of_week_4.0,day_of_week_5.0,workingday_0.0,weather_1.0,weather_2.0
0.6247428345870746,0.6510898862489167,0.9220579290357886,-0.9301641054998143,6073.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-0.18058338965995932,-0.0548414504093614,0.6979069179761875,-0.2138247920050196,6606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0.8037042177530821,0.8527845538655676,-0.4490618515472859,0.8051429845476342,7363.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
-1.522793763405016,-1.567551457534243,-0.33261622921363904,-0.26950679074885203,2431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0.5352621430040708,0.3485478848239404,1.9787808172558656,-1.2008426216922472,1996.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.6247428345870746,0.6510898862489167,0.44172934348120824,1.9435390480611983,4451.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-0.8964289223239894,-0.861620120875965,-2.0986324797998566,2.0096918226607676,5315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0.5352621430040708,0.6510898862489167,-0.88572420205145,1.004190129482484,4891.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0.5352621430040708,0.6510898862489167,-0.923563614696739,0.7256265302495452,8714.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1.1616269840850972,1.0544792214822185,-0.09973197114395467,-0.2696091944247029,7347.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
